# openaladdin-actor-timeline-v1
# Source state frames 1436..1450 (inclusive).
# Frame numbers are rebased to zero for native replay.
# @frame N followed by: slot type x y movement_pc frame_ptr animation_pc flags facing_x_flip facing_y_flip movement_command_timer movement_loop_pc movement_loop_timer movement_return_pc movement_word_18 movement_word_1a sprite_attribute
@frame 0
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 9
0 131 700 880 0x0 0x1ea38c 0x12201a 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f33ec 0x123986 0x20 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9d8 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9b4 0x1245d4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 10
0 131 703 880 0x0 0x1ea38c 0x12201a 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f33ec 0x123986 0x20 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9d8 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9b4 0x1245d4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 11
0 131 706 880 0x0 0x1ea3c2 0x122026 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f345e 0x123988 0x20 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9d8 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9b4 0x1245d4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 12
0 131 709 880 0x0 0x1ea3c2 0x122026 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f345e 0x123988 0x20 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9d8 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9b4 0x1245d4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 13
0 131 712 880 0x0 0x1ea3c2 0x122028 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f345e 0x123990 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9d8 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9b4 0x1245d8 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 14
0 131 715 880 0x0 0x1ea3c2 0x122028 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f345e 0x123990 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9d8 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9b4 0x1245d8 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
